step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.033712037480,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.715573411,-0.000139932,0.035879383,-3.205975717,-2.032141311,-0.939713981,2.128657482,-0.062404844,0.167178760,-0.106022700,-1.681969319,1.104170839,0.817189422,1.286997797,0.011913334,-0.216753738,0.084191638,426.586617513,76
1,0.010000,1,0.033580156452,0,0.249897738,0.240431737,0.915834330,0.000104334,-0.000096843,-0.000012273,0.000142881,0.000142881,0.249893658,-0.240416686,0.915851986,0.000100254,0.000101894,0.000005384,0.000143046,0.000143046,-0.000070982,-0.000007757,0.000029898,-0.000434292,0.499711656,-0.000153657,0.000268913,-0.000008268,0.000050713,-0.000015784,-0.000583941,-0.499626870,0.000230378,0.000286221,0.000005713,0.000057989,0.000023780,2.415367688,1.887509764,1.786191148,-5.711031916,-4.312170757,-2.604052449,2.602723298,-0.078876584,0.498256264,-0.270685232,-3.338364834,-2.155162606,-0.278563915,5.181333601,-0.147304060,1.313314667,-0.044670235,-0.014905370,0
2,0.020000,1,0.033457637424,0,0.250106067,0.240239544,0.915821288,0.000208329,-0.000192193,-0.000013041,0.000283741,0.000426622,0.249985670,-0.240322764,0.915851361,0.000092012,0.000093922,-0.000000625,0.000131484,0.000274530,-0.000313522,-0.000015529,0.000063383,-0.001189181,0.499220097,-0.000401286,0.000750693,-0.000022776,0.000118143,-0.000042171,-0.001336078,-0.499143322,0.000542475,0.000701142,0.000012618,0.000094303,0.000055979,2.291928119,1.790307475,1.694153367,-5.414753575,-4.090803483,-2.466901527,2.469191277,-0.074774485,0.471824861,-0.256432093,-3.177003335,-2.047425564,-0.258789966,4.934188652,-0.141749830,1.251882894,-0.040001189,-0.011160859,0
3,0.030000,1,0.033214399333,0,0.250383077,0.239954440,0.915813169,0.000277009,-0.000285104,-0.000008119,0.000397598,0.000824220,0.250211746,-0.240266422,0.915747830,0.000226075,0.000056342,-0.000103531,0.000254957,0.000529487,-0.000314525,0.000165451,0.000275488,-0.002515174,0.498297321,-0.000909320,0.001492744,-0.000045172,0.000235399,-0.000095626,-0.002422052,-0.498875291,0.000826716,0.001634196,0.000004793,0.000261948,0.000083712,2.172415935,1.695604578,1.604432601,-5.127647984,-3.877628880,-2.332897803,2.340969297,-0.070826997,0.445956230,-0.242487053,-3.020960999,-1.943314601,-0.238274479,4.696289700,-0.136163473,1.192163266,-0.035307582,-0.007478622,0
4,0.040000,1,0.032856635298,0,0.250725337,0.239580761,0.915809975,0.000342260,-0.000373679,-0.000003194,0.000506743,0.001330963,0.250565092,-0.240245575,0.915546435,0.000353346,0.000020846,-0.000201396,0.000407245,0.000936732,-0.000086335,0.000525461,0.000657008,-0.004382642,0.496965465,-0.001664044,0.002481715,-0.000075045,0.000399838,-0.000174724,-0.003825727,-0.498812002,0.001085077,0.003060669,-0.000017208,0.000554781,0.000107444,2.056687502,1.603292497,1.516908946,-4.849550918,-3.672421744,-2.202003960,2.218033135,-0.067043821,0.420736092,-0.228850118,-2.870418413,-1.842493927,-0.217124001,4.467827387,-0.130587893,1.134337725,-0.030515131,-0.003866908,0
5,0.050000,1,0.032390595263,0,0.251129634,0.239122600,0.915811726,0.000404297,-0.000458161,0.000001751,0.000611041,0.001942004,0.251039117,-0.240258083,0.915252050,0.000474025,-0.000012507,-0.000294384,0.000558138,0.001494870,0.000359096,0.001055032,0.001198971,-0.006762874,0.495245846,-0.002652058,0.003704783,-0.000112001,0.000608872,-0.000278071,-0.005531497,-0.498943045,0.001319611,0.004956771,-0.000052825,0.000966831,0.000127645,1.944443414,1.513159955,1.431395174,-4.580203705,-3.474920534,-2.074057934,2.100376823,-0.063436407,0.396253572,-0.215512105,-2.725959389,-1.744083938,-0.195790277,4.249479235,-0.125039027,1.078741230,-0.025513170,-0.000332910,0
6,0.060000,1,0.031822550940,0,0.251592946,0.238583833,0.915818450,0.000463312,-0.000538767,0.000006724,0.000710614,0.002652618,0.251627427,-0.240301766,0.914869391,0.000588311,-0.000043683,-0.000382659,0.000703169,0.002198039,0.001010196,0.001744932,0.001892625,-0.009628062,0.493158985,-0.003860272,0.005149653,-0.000155661,0.000859980,-0.000404303,-0.007524309,-0.499258337,0.001532433,0.007299655,-0.000101501,0.001492314,0.000144795,-0.348932833,1.298788911,0.498912558,-4.319159293,-3.284776559,-1.948668679,1.987992118,-0.060016735,0.372592428,-0.202447071,-1.588067430,-2.340667289,-1.072143526,4.139699554,-0.119942439,1.042706168,-0.197467359,0.003117097,1
7,0.070000,1,0.031158766162,0,0.252112421,0.237968150,0.915830177,0.000519474,-0.000615683,0.000011727,0.000805641,0.003458259,0.252323833,-0.240374434,0.914403012,0.000696406,-0.000072668,-0.000466379,0.000841291,0.003039330,0.001855741,0.002586148,0.002729419,-0.012951271,0.490724632,-0.005275892,0.006804562,-0.000205665,0.001150713,-0.000552087,-0.009789717,-0.499748037,0.001725676,0.010067488,-0.000162680,0.002125672,0.000159394,-0.325612472,1.245480279,0.500360568,-4.046175277,-3.107873001,-1.803565892,1.818087135,-0.059134654,0.370028033,-0.189617573,-1.483941879,-2.310243018,-0.876010136,3.848697374,-0.117476669,0.997336476,-0.176053529,0.002987632,1
8,0.080000,1,0.030522144278,0,0.252730551,0.237224783,0.915865784,0.000618131,-0.000743367,0.000035607,0.000967444,0.004425703,0.253042828,-0.240568640,0.913873865,0.000718995,-0.000194205,-0.000529147,0.000913600,0.003952930,0.002666392,0.003557243,0.003616104,-0.016706395,0.487961801,-0.006886379,0.008658270,-0.000261671,0.001478706,-0.000720115,-0.012213932,-0.500471804,0.001811704,0.013249290,-0.000235854,0.002863300,0.000154246,-0.290766809,1.169460314,0.479804968,-3.800900030,-2.930470533,-1.682740201,1.720098335,-0.056144739,0.347267104,-0.176903326,-1.433881206,-2.160860887,-0.799467579,3.681690699,-0.110155733,0.956256457,-0.157175807,0.002841734,1
9,0.090000,1,0.029912477144,0,0.253441528,0.236359558,0.915925007,0.000710976,-0.000865225,0.000059223,0.001121432,0.005547135,0.253782967,-0.240875994,0.913284466,0.000740138,-0.000307354,-0.000589399,0.000994818,0.004947748,0.003444482,0.004652886,0.004552825,-0.020866136,0.484888183,-0.008677223,0.010693786,-0.000323590,0.001843701,-0.000907104,-0.014786542,-0.501426596,0.001810132,0.016815963,-0.000320776,0.003700662,0.000131492,-0.272611959,1.097573709,0.467495869,-3.545900509,-2.757973319,-1.545060637,1.596047598,-0.054699721,0.335503602,-0.163760139,-1.406350286,-2.027236442,-0.685981906,3.518495471,-0.091321105,0.935886190,-0.133174388,0.002677347,1
