step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
10,0.100000,1,0.029518986750,0,0.255154530,0.235339101,0.915571846,0.000955267,-0.000958913,-0.000017951,0.001353651,0.007469564,0.253061411,-0.237265815,0.916275764,0.000503026,0.000488176,0.000118120,0.000710847,0.004640468,-0.006094286,-0.000448680,0.000499373,-0.019842119,0.486897622,-0.006894035,0.012282488,-0.000376914,0.002145806,-0.000717559,-0.023765653,-0.484784995,0.008959489,0.012365256,0.000242604,0.002137789,0.000850088,-2.184483416,-0.183107600,-0.547509829,-2.344728604,-1.563918340,-0.851801403,1.359489222,-0.039355625,0.248541214,-0.089663319,-2.309814432,1.451562796,0.393716761,1.441496823,0.035257703,0.266747259,-0.030116981,0.003477399,1
11,0.110000,1,0.028918655417,0,0.256206364,0.234266658,0.915569271,0.001051834,-0.001072443,-0.000002576,0.001502163,0.008971727,0.253555169,-0.236796308,0.916423455,0.000493758,0.000469506,0.000147691,0.000697170,0.005337638,-0.007584256,-0.000568444,0.000433596,-0.023475040,0.484491936,-0.008175288,0.014490998,-0.000445203,0.002548964,-0.000850812,-0.028077845,-0.482026931,0.010447921,0.014656056,0.000290170,0.002565296,0.000972650,-2.053309183,-0.176998352,-0.523567760,-2.196315384,-1.466325997,-0.799444051,1.272044693,-0.035216807,0.224017042,-0.084417624,-2.148445745,1.346018456,0.346325329,1.328457264,0.033350415,0.233306880,-0.031176162,0.003357542,1
12,0.120000,1,0.028342291071,0,0.257347812,0.233085289,0.915582474,0.001141448,-0.001181369,0.000013203,0.001642775,0.010614502,0.254040191,-0.236344419,0.916601039,0.000485023,0.000451889,0.000177583,0.000686285,0.006023922,-0.009292674,-0.000706518,0.000313069,-0.027342433,0.481929858,-0.009541721,0.016835456,-0.000517429,0.002976976,-0.000993033,-0.032621018,-0.479123711,0.011975725,0.017091006,0.000341261,0.003019478,0.001092201,-1.926405472,-0.171008274,-0.501120609,-2.052419972,-1.371279335,-0.748708391,1.188157680,-0.031203871,0.200165096,-0.079284623,-1.995286228,1.244611315,0.301663154,1.221502962,0.031472437,0.201584913,-0.032137177,0.003234773,1
13,0.130000,1,0.027789215472,0,0.258572050,0.231799428,0.915611886,0.001224238,-0.001285861,0.000029412,0.001775686,0.012390188,0.254517010,-0.235909117,0.916808834,0.000476818,0.000435302,0.000207795,0.000678249,0.006702172,-0.011206422,-0.000862293,0.000140185,-0.031429458,0.479221147,-0.010988099,0.019307120,-0.000593176,0.003427389,-0.001143695,-0.037379036,-0.476085888,0.013538161,0.019658802,0.000395687,0.003496990,0.001208634,-1.803356535,-0.165146282,-0.480112446,-1.913181731,-1.279009232,-0.699595814,1.107991125,-0.027335665,0.177076217,-0.074269369,-1.849916780,1.147239527,0.259496453,1.120267795,0.029621329,0.171462615,-0.033009986,0.003108697,1
14,0.140000,1,0.027258787078,0,0.259872392,0.230413375,0.915657951,0.001300342,-0.001386054,0.000046065,0.001901093,0.014291281,0.254986154,-0.235489393,0.917047153,0.000469144,0.000419724,0.000238319,0.000673098,0.007375269,-0.013312812,-0.001035168,-0.000082811,-0.035721725,0.476375308,-0.012509347,0.021897599,-0.000672043,0.003897819,-0.001302285,-0.042336582,-0.472923605,0.015130764,0.022348749,0.000453261,0.003994661,0.001321853,-1.683797580,-0.159419623,-0.460484980,-1.778707068,-1.189689486,-0.652119092,1.031667982,-0.023629612,0.154821708,-0.069377118,-1.711949587,1.053789895,0.219639797,1.024417769,0.027794421,0.142830875,-0.033800296,0.002978959,1
15,0.150000,1,0.026750398245,0,0.261242293,0.228931319,0.915721111,0.001369901,-0.001482056,0.000063161,0.002019185,0.016310466,0.255448155,-0.235084253,0.917316298,0.000462002,0.000405140,0.000269145,0.000670837,0.008046107,-0.015599537,-0.001224558,-0.000353818,-0.040205310,0.473401569,-0.014100555,0.024598877,-0.000753644,0.004385957,-0.001468302,-0.047479120,-0.469646597,0.016749316,0.025150722,0.000513796,0.004509477,0.001431772,-1.567412562,-0.153833286,-0.442175121,-1.649067716,-1.103441509,-0.606295926,0.959268566,-0.020101344,0.133452878,-0.064612856,-1.581027691,0.964147377,0.181949043,0.933648985,0.025988898,0.115589944,-0.034510197,0.002845243,1
16,0.160000,1,0.026263472513,0,0.262675359,0.227357369,0.915801799,0.001433066,-0.001573950,0.000080688,0.002130143,0.018440609,0.255903548,-0.234692719,0.917616559,0.000455393,0.000391535,0.000300261,0.000671445,0.008717552,-0.018054642,-0.001429890,-0.000670873,-0.044866765,0.470308860,-0.015756974,0.027403322,-0.000837608,0.004889577,-0.001641257,-0.052792853,-0.466264211,0.018389832,0.028055137,0.000577112,0.005038578,0.001538310,-1.453930478,-0.148389462,-0.425113448,-1.524301265,-1.020339170,-0.562145057,0.890831041,-0.016764421,0.113001599,-0.059980968,-1.456823469,0.878201443,0.146315112,0.847685378,0.024201881,0.089648909,-0.035138715,0.002707280,1
17,0.170000,1,0.025797461922,0,0.264165350,0.225695570,0.915900423,0.001489991,-0.001661799,0.000098624,0.002234139,0.020674748,0.256352870,-0.234313820,0.917948209,0.000449322,0.000378899,0.000331650,0.000674867,0.009392420,-0.020666488,-0.001650605,-0.001032147,-0.049693128,0.467105807,-0.017474024,0.030303693,-0.000923582,0.005406542,-0.001820674,-0.058264689,-0.462785410,0.020048543,0.031052916,0.000643026,0.005579237,0.001641398,-1.343120490,-0.143087053,-0.409223291,-1.404413299,-0.940413940,-0.519684064,0.826354216,-0.013630180,0.093481557,-0.055485006,-1.339036371,0.795850025,0.112658586,0.766276341,0.022430492,0.064924998,-0.035682276,0.002564845,1
18,0.180000,1,0.025351844314,0,0.265706188,0.223949922,0.916017361,0.001540838,-0.001745647,0.000116938,0.002331339,0.023006087,0.256796662,-0.233946594,0.918311502,0.000443792,0.000367226,0.000363293,0.000681020,0.010073440,-0.023423727,-0.001886159,-0.001435931,-0.054671920,0.463800721,-0.019247288,0.033293148,-0.001011232,0.005934808,-0.002006088,-0.063882207,-0.459218788,0.021721886,0.034135465,0.000711360,0.006128861,0.001740971,-1.234786106,-0.137921237,-0.394420209,-1.289380639,-0.863660334,-0.478928291,0.765801944,-0.010707709,0.074889981,-0.051127515,-1.227390211,0.717001650,0.080925094,0.689194335,0.020671909,0.041342787,-0.036135084,0.002417768,1
19,0.190000,1,0.024926120525,0,0.267291962,0.222124399,0.916152955,0.001585774,-0.001825523,0.000135594,0.002421900,0.025427987,0.257235473,-0.233590081,0.918706670,0.000438811,0.000356513,0.000395168,0.000689793,0.010763233,-0.026315278,-0.002136022,-0.001880638,-0.059791154,0.460401593,-0.021072520,0.036365238,-0.001100245,0.006472421,-0.002197051,-0.069633628,-0.455572582,0.023406494,0.037294641,0.000781937,0.006684977,0.001836976,-1.128758572,-0.132883057,-0.380611609,-1.179155329,-0.790041558,-0.439890537,0.709108597,-0.008003967,0.057209654,-0.046909906,-1.121630237,0.641576289,0.051081471,0.616232543,0.018923379,0.018833349,-0.036489402,0.002265942,1
20,0.200000,1,0.024519811402,0,0.268916935,0.220222954,0.916307503,0.001624973,-0.001901445,0.000154549,0.002505976,0.027933963,0.257669857,-0.233243319,0.919133921,0.000434384,0.000346761,0.000427251,0.000701054,0.011464287,-0.029330308,-0.002399677,-0.002364787,-0.065039326,0.456916099,-0.022945645,0.039513909,-0.001190330,0.007017524,-0.002393127,-0.075507789,-0.451854676,0.025099195,0.040522736,0.000854581,0.007245228,0.001929368,-1.024889544,-0.127959021,-0.367696329,-1.073669057,-0.719495227,-0.402581264,0.656185193,-0.005524027,0.040411060,-0.042832363,-1.021520167,0.569505349,0.023112698,0.547202639,0.017182225,-0.002666603,-0.036735725,0.002109332,1
21,0.210000,1,0.024132454513,0,0.270575547,0.218249535,0.916481257,0.001658612,-0.001973419,0.000173754,0.002583712,0.030517675,0.258100376,-0.232905343,0.919593435,0.000430518,0.000337977,0.000459514,0.000714652,0.012178939,-0.032458214,-0.002676621,-0.002886997,-0.070405414,0.453351601,-0.024862759,0.042733490,-0.001281214,0.007568347,-0.002593894,-0.081494113,-0.448072612,0.026797005,0.043812455,0.000929118,0.007807362,0.002018111,-0.923043067,-0.123130681,-0.355563954,-0.972837800,-0.651939012,-0.367009182,0.606925848,-0.003271432,0.024454550,-0.038893758,-0.926839353,0.500731210,-0.002980341,0.481932731,0.015445814,-0.023215540,-0.036862855,0.001947995,1
22,0.220000,1,0.023763600421,0,0.272262425,0.216208090,0.916674416,0.001686877,-0.002041446,0.000193158,0.002655253,0.033172927,0.258527600,-0.232575174,0.920085360,0.000427224,0.000330169,0.000491925,0.000730426,0.012909365,-0.035688609,-0.002966360,-0.003445977,-0.075878868,0.449715153,-0.026820131,0.046018690,-0.001372651,0.008123212,-0.002798944,-0.087582588,-0.444233597,0.028497125,0.047156893,0.001005373,0.008369229,0.002103180,-0.823086784,-0.118374143,-0.344093670,-0.876566528,-0.587276053,-0.333182148,0.561214333,-0.001248659,0.009292420,-0.035091579,-0.837380176,0.435206637,-0.027182234,0.420265539,0.013711516,-0.042867890,-0.036857826,0.001782103,1
