step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
10,0.100000,1,0.039785718989,0,0.253291649,0.246381103,0.910106051,0.000575990,0.000975233,-0.000961634,0.001485794,0.008913874,0.252912363,-0.236296260,0.919673655,0.000575489,0.000778920,0.000707547,0.001199386,0.006496919,-0.009913333,-0.010409430,0.003020907,-0.006041527,0.513149219,0.009943855,0.028463305,0.000772721,0.007307811,0.001042165,-0.026300424,-0.485070280,0.010444321,0.007112059,0.000071942,0.000221003,0.001133804,-1.038207851,-0.548476800,1.299488063,-0.705121085,1.568405440,0.947742191,2.668356540,0.114071396,0.711118209,0.126165458,-2.112109164,2.090101299,1.429784279,1.070951073,0.020195212,0.277392353,0.195072003,0.002201319,1
11,0.110000,1,0.038888272841,0,0.253902415,0.247424565,0.909079557,0.000610766,0.001043462,-0.001026494,0.001586045,0.010499919,0.253537478,-0.235448265,0.920447860,0.000625115,0.000847995,0.000774205,0.001307386,0.007804305,-0.011628656,-0.012340546,0.003560200,-0.007150063,0.515566908,0.011624107,0.033485843,0.000920036,0.008620663,0.001226687,-0.031238223,-0.482261073,0.012337140,0.008252061,0.000090039,0.000257172,0.001341806,-0.931315476,-0.521624773,1.235114614,-0.694441145,1.446984680,0.883233099,2.487520663,0.104053388,0.654039044,0.118485833,-1.950989366,1.936920994,1.318090187,0.958532809,0.017979724,0.234388742,0.180383393,0.002222725,1
12,0.120000,1,0.038020477234,0,0.254556287,0.248520754,0.907991763,0.000653872,0.001096189,-0.001087794,0.001677043,0.012176962,0.254192432,-0.234548745,0.921192369,0.000654954,0.000899520,0.000744509,0.001338804,0.009143109,-0.013447799,-0.014326511,0.004229442,-0.008329111,0.518141437,0.013399133,0.038775217,0.001078758,0.010004627,0.001423825,-0.036387233,-0.479242855,0.014372938,0.009499159,0.000110156,0.000321080,0.001569315,-0.831981944,-0.496295519,1.168153931,-0.679517774,1.334349579,0.816873354,2.316656779,0.094796531,0.600617451,0.110386890,-1.802480227,1.791057603,1.213642703,0.855194260,0.015597131,0.195277936,0.166455427,0.002247336,1
13,0.130000,1,0.037181274546,0,0.255249747,0.249666267,0.906847168,0.000693461,0.001145513,-0.001144595,0.001761586,0.013938548,0.254876543,-0.233599617,0.921909940,0.000684111,0.000949128,0.000717572,0.001372501,0.010515610,-0.015360075,-0.016364638,0.005022195,-0.009577603,0.520860665,0.015262483,0.044313344,0.001247885,0.011453994,0.001632811,-0.041731342,-0.476030944,0.016540544,0.010842109,0.000132071,0.000408427,0.001814862,-0.739869112,-0.472478680,1.099194770,-0.660561934,1.229276248,0.750515972,2.154518359,0.086211196,0.550368782,0.102159145,-1.665531800,1.652653604,1.115514874,0.760027377,0.013193829,0.159643507,0.153208496,0.002274985,1
14,0.140000,1,0.036369645198,0,0.255979353,0.250857787,0.905650017,0.000729606,0.001191520,-0.001197151,0.001839895,0.015778443,0.255589099,-0.232602735,0.922603336,0.000712556,0.000996883,0.000693396,0.001407945,0.011923555,-0.017355548,-0.018452394,0.005931763,-0.010894047,0.523713328,0.017207520,0.050083135,0.001426492,0.012963423,0.001852837,-0.047255699,-0.472639929,0.018829515,0.012270580,0.000155545,0.000515302,0.002077054,-0.654614961,-0.450104129,1.028739735,-0.637923784,1.130786189,0.685421579,2.000195569,0.078211807,0.502936715,0.093995337,-1.539186470,1.521650331,1.022979811,0.672247213,0.010873992,0.127130011,0.140580594,0.002305490,1
15,0.150000,1,0.035584606604,0,0.256741740,0.252092091,0.904404328,0.000762387,0.001234304,-0.001245689,0.001912193,0.017690636,0.256329358,-0.231559894,0.923275314,0.000740259,0.001042841,0.000671978,0.001444664,0.013368219,-0.019425008,-0.020587398,0.006951251,-0.012276547,0.526688918,0.019227609,0.056068379,0.001613720,0.014527889,0.002083078,-0.052946609,-0.469083647,0.021230037,0.013775053,0.000180339,0.000638142,0.002354568,-0.575856957,-0.429070215,0.957227346,-0.612008707,1.038079841,0.622464528,1.852986135,0.070721947,0.458043599,0.086027308,-1.422564254,1.397858646,0.935455514,0.591167752,0.008709692,0.097429423,0.128521866,0.002338663,1
16,0.160000,1,0.034825212037,0,0.257533632,0.253366062,0.903113912,0.000791892,0.001273971,-0.001290416,0.001978704,0.019669340,0.257096540,-0.230472844,0.923928623,0.000767182,0.001087050,0.000653309,0.001482248,0.014850467,-0.021559930,-0.022767413,0.008073613,-0.013722840,0.529777587,0.021316239,0.062253642,0.001808769,0.016142649,0.002322718,-0.058791438,-0.465375201,0.023732858,0.015346750,0.000206221,0.000773694,0.002646139,-0.503242953,-0.409259465,0.885045334,-0.583236498,0.950488656,0.562261571,1.712323918,0.063674956,0.415463398,0.078347603,-1.314852562,1.281005162,0.852467064,0.516184389,0.006748179,0.070271639,0.116990968,0.002374310,1
17,0.170000,1,0.034090549404,0,0.258351848,0.254676690,0.901782393,0.000818216,0.001310628,-0.001331519,0.002039648,0.021708988,0.257889827,-0.229343293,0.924565996,0.000793287,0.001129551,0.000637373,0.001520340,0.016370807,-0.023752438,-0.024990335,0.009291697,-0.015230333,0.532970064,0.023467117,0.068624204,0.002010891,0.017803213,0.002570962,-0.064778524,-0.461526969,0.026329223,0.016977565,0.000232973,0.000918989,0.002950563,-0.437289931,-0.390966122,0.812523402,-0.550615148,0.864456583,0.511780773,1.575680956,0.056515343,0.374296268,0.071892637,-1.215756616,1.171302119,0.773927990,0.447070210,0.005058526,0.045961911,0.105995080,0.002412243,1
18,0.180000,1,0.033379739965,0,0.259193307,0.256021073,0.900413221,0.000841459,0.001344383,-0.001369172,0.002095245,0.023804233,0.258708363,-0.228172910,0.925190142,0.000818536,0.001170383,0.000624145,0.001558639,0.017929446,-0.025995270,-0.027254182,0.010598286,-0.016796150,0.536257590,0.025674220,0.075165999,0.002219380,0.019505324,0.002827040,-0.070897094,-0.457550636,0.029010836,0.018659998,0.000260400,0.001071312,0.003266686,-0.378179259,-0.374278099,0.740001164,-0.513769826,0.777473536,0.475593398,1.441425437,0.048866067,0.333994182,0.067247266,-1.124852439,1.068662025,0.699739365,0.383443590,0.003662692,0.024681665,0.095533597,0.002452282,1
19,0.190000,1,0.032691936802,0,0.260055030,0.257396474,0.899009735,0.000861723,0.001375401,-0.001403486,0.002145709,0.025949942,0.259551244,-0.226963338,0.925803741,0.000842881,0.001209572,0.000613599,0.001596877,0.019526323,-0.028281830,-0.029557127,0.011986128,-0.018417029,0.539631561,0.027932501,0.081865361,0.002433520,0.021244864,0.003090308,-0.077137240,-0.453457174,0.031769841,0.020387138,0.000288333,0.001228230,0.003593408,-0.323868108,-0.358209102,0.667800195,-0.475950360,0.695158087,0.440676422,1.313395658,0.041705498,0.295875876,0.062673683,-1.040556637,0.971604022,0.629002835,0.324228858,0.002468799,0.005149168,0.085493553,0.002494259,1
