step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
10,0.100000,1,0.009384013523,0,0.253896354,0.245489533,0.910651420,0.000697187,0.000811728,-0.000860229,0.001372941,0.008274734,0.251763293,-0.237057111,0.916269385,0.000362238,0.000633493,0.000094398,0.000735826,0.004006622,-0.012003930,-0.005802298,0.005038780,-0.005754003,0.513470645,0.009522028,0.028470404,0.000874787,0.007292347,0.001031283,-0.022301881,-0.483012040,0.011904328,0.009313161,0.000063768,0.000277282,0.001149714,-1.307413953,-0.709066943,0.627706273,-0.639506454,1.594685311,0.962558240,2.660777884,0.112234740,0.724537983,0.125469082,-2.443934326,2.130808913,1.237747118,0.640319946,0.021845886,0.008088823,0.117766637,0.010609392,2
11,0.110000,1,0.009413211180,0,0.254639964,0.246354571,0.909740540,0.000743610,0.000865038,-0.000910880,0.001459777,0.009734511,0.252153816,-0.236371158,0.916377820,0.000390523,0.000685953,0.000108434,0.000796742,0.004803364,-0.014189412,-0.006801967,0.005932192,-0.006826523,0.515930302,0.011137062,0.033588774,0.001037121,0.008629539,0.001212924,-0.026473513,-0.479766411,0.014099569,0.010909546,0.000080021,0.000323779,0.001363770,-1.213060642,-0.668594750,0.590953363,-0.624035857,1.470241125,0.907678065,2.477588224,0.102593490,0.666964357,0.119741158,-2.251468968,1.986477638,1.132884895,0.554060058,0.020537026,-0.016976209,0.107327721,0.010786106,2
12,0.120000,1,0.009444441034,0,0.255427041,0.247269229,0.908783627,0.000787077,0.000914658,-0.000956914,0.001540056,0.011274568,0.252571120,-0.235635460,0.916500907,0.000417304,0.000735698,0.000123087,0.000854719,0.005658082,-0.016505636,-0.007872543,0.006888375,-0.007962995,0.518549428,0.012848353,0.038973221,0.001210679,0.010039185,0.001407112,-0.030889538,-0.476307701,0.016418585,0.012569962,0.000098458,0.000371085,0.001589603,-1.116126720,-0.622149647,0.563260132,-0.608468625,1.353246238,0.849615031,2.304554624,0.093433926,0.612835203,0.113306823,-2.065897460,1.850333979,1.038951005,0.480213470,0.018875331,-0.037485598,0.097503194,0.010961196,2
13,0.130000,1,0.009478064587,0,0.256254711,0.248229918,0.907785012,0.000827670,0.000960689,-0.000998614,0.001614061,0.012888629,0.253013821,-0.234852578,0.916639153,0.000442701,0.000782882,0.000138247,0.000909946,0.006568028,-0.018943167,-0.009009978,0.007903653,-0.009161870,0.521315579,0.014650411,0.044605427,0.001394496,0.011515527,0.001613274,-0.035530711,-0.472650343,0.018850889,0.014285785,0.000118949,0.000416693,0.001826168,-1.023903001,-0.580584396,0.533959013,-0.592201745,1.243303302,0.789743917,2.140688568,0.084793780,0.561834979,0.106407939,-1.893244027,1.716214845,0.948767559,0.410900818,0.016958245,-0.055584319,0.088216882,0.011129191,2
14,0.140000,1,0.009515105507,0,0.257120111,0.249233237,0.906748721,0.000865400,0.001003319,-0.001036292,0.001682101,0.014570730,0.253480753,-0.234024820,0.916792321,0.000466932,0.000827757,0.000153168,0.000962636,0.007530664,-0.021492309,-0.010209628,0.008975256,-0.010421591,0.524217053,0.016537431,0.050468089,0.001587657,0.013053153,0.001830767,-0.040378473,-0.468807952,0.021387089,0.016049630,0.000141328,0.000458552,0.002072484,-0.935684980,-0.542817341,0.503177263,-0.574572950,1.139810814,0.729261206,1.985124783,0.076668623,0.513664348,0.099251072,-1.731882364,1.586573038,0.863504677,0.346590521,0.014879464,-0.071491967,0.079457055,0.011291033,2
15,0.150000,1,0.009556369505,0,0.258020472,0.250275888,0.905678484,0.000900362,0.001042651,-0.001070236,0.001744470,0.016315200,0.253970834,-0.233154473,0.916960424,0.000490081,0.000870348,0.000168103,0.001012889,0.008543553,-0.024143842,-0.011467337,0.010100256,-0.011740533,0.527242858,0.018503426,0.056544819,0.001789297,0.014646962,0.002058901,-0.045415559,-0.464793939,0.024018165,0.017854564,0.000165402,0.000494854,0.002327622,-0.851482900,-0.508121457,0.471307579,-0.555243363,1.042215285,0.669166822,1.837192917,0.069033220,0.468095024,0.091998958,-1.580927900,1.462164322,0.783123977,0.287380669,0.012723237,-0.085308371,0.071200928,0.011446988,2
16,0.160000,1,0.009602539408,0,0.258953096,0.251354699,0.904577777,0.000932624,0.001078811,-0.001100707,0.001801437,0.018116637,0.254483051,-0.232243734,0.917143610,0.000512217,0.000910739,0.000183185,0.001060834,0.009604387,-0.026888944,-0.012779327,0.011275574,-0.013116933,0.530382645,0.020542346,0.062820062,0.001998604,0.016292138,0.002296959,-0.050625834,-0.460621269,0.026735591,0.019694157,0.000190965,0.000524006,0.002590705,-0.771331862,-0.476129742,0.438590373,-0.534079151,0.950005361,0.610257264,1.696320947,0.061852891,0.424931918,0.084778115,-1.439763566,1.343301258,0.707368675,0.233140095,0.010561926,-0.097142739,0.063421995,0.011597029,2
17,0.170000,1,0.009609595566,0,0.259915346,0.252466628,0.903449835,0.000962250,0.001111929,-0.001127943,0.001853258,0.019969896,0.255016440,-0.231294717,0.917342103,0.000533389,0.000949017,0.000198494,0.001106588,0.010710975,-0.029719194,-0.014142129,0.012498022,-0.014548856,0.533626652,0.022648183,0.069279024,0.002214814,0.017984123,0.002544218,-0.055994202,-0.456302382,0.029531330,0.021562488,0.000217799,0.000544627,0.002860908,-0.695247259,-0.446473919,0.405294586,-0.511092484,0.862719371,0.553160602,1.562007903,0.055089602,0.384003006,0.077687000,-1.307791608,1.230091794,0.635948491,0.183707946,0.008455009,-0.107110420,0.056093479,0.011741026,2
18,0.180000,1,0.009476972535,0,0.260904650,0.253608763,0.902297668,0.000989304,0.001142136,-0.001152167,0.001900180,0.021870076,0.255570078,-0.230309457,0.917556181,0.000553638,0.000985260,0.000214078,0.001150253,0.011861227,-0.032626577,-0.015552545,0.013764329,-0.016034188,0.536965661,0.024815046,0.075907619,0.002437209,0.019718602,0.002799954,-0.061506546,-0.451849166,0.032397806,0.023454134,0.000245690,0.000555534,0.003137454,-0.623178556,-0.418933137,0.371603811,-0.486371947,0.779935490,0.498361761,1.433816852,0.048705255,0.345155347,0.070801812,-1.184497552,1.122511967,0.568565783,0.138819609,0.006449144,-0.115344281,0.049190936,0.011878759,2
19,0.190000,1,0.009344106367,0,0.261918499,0.254778324,0.901124079,0.001013849,0.001169561,-0.001173588,0.001942440,0.023812516,0.256143069,-0.229289915,0.917786145,0.000572991,0.001019541,0.000229965,0.001191918,0.013053145,-0.035603485,-0.017007607,0.015071166,-0.017570629,0.540390941,0.027037225,0.082692414,0.002665113,0.021491480,0.003063460,-0.067149669,-0.447272940,0.035327877,0.025364150,0.000274426,0.000555730,0.003419609,-0.556185260,-0.393962340,0.337767915,-0.457895484,0.696986565,0.455819815,1.308155072,0.041937635,0.307194222,0.065427305,-1.070053879,1.021236116,0.505386776,0.098618514,0.004650245,-0.121192682,0.042748305,0.012009996,2
20,0.200000,1,0.009211678066,0,0.262954452,0.255972657,0.899931679,0.001035953,0.001194332,-0.001192400,0.001980264,0.025792780,0.256734543,-0.228237988,0.918032317,0.000591474,0.001051927,0.000246172,0.001231662,0.014284808,-0.038642710,-0.018504563,0.016415163,-0.019155707,0.543894215,0.029309240,0.089620591,0.002897888,0.023298875,0.003334045,-0.072911241,-0.442584463,0.038314804,0.027288048,0.000303808,0.000544391,0.003706683,-0.493651048,-0.371076100,0.303969267,-0.426831967,0.615085419,0.422158352,1.185990670,0.035017888,0.270483871,0.061091492,-0.963668807,0.925703812,0.446012745,0.062490397,0.003044164,-0.125060540,0.036724246,0.012134552,3
21,0.210000,1,0.009080317550,0,0.264010126,0.257189312,0.898722965,0.001055674,0.001216656,-0.001208714,0.002013874,0.027806654,0.257343634,-0.227155512,0.918295023,0.000609092,0.001082476,0.000262706,0.001269552,0.015554359,-0.041737555,-0.020040916,0.017792937,-0.020786574,0.547467187,0.031626837,0.096679583,0.003134857,0.025136988,0.003611173,-0.078779820,-0.437793862,0.041352270,0.029221808,0.000333654,0.000520933,0.003998032,-0.434449292,-0.349557850,0.270291676,-0.395247053,0.537617259,0.389304380,1.069767091,0.028551817,0.235825891,0.056751406,-0.864287001,0.835030501,0.389829541,0.029746608,0.001578929,-0.127771156,0.031049759,0.012252234,3
22,0.220000,1,0.008950609596,0,0.265083205,0.258426011,0.897500308,0.001073079,0.001236699,-0.001222657,0.002043481,0.029850135,0.257969489,-0.226044265,0.918574593,0.000625855,0.001111247,0.000279570,0.001305651,0.016860010,-0.044881764,-0.021614376,0.019201108,-0.022460125,0.551101668,0.033986650,0.103857174,0.003375327,0.027002151,0.003894410,-0.084744765,-0.432910691,0.044434338,0.031161817,0.000363805,0.000484969,0.004293053,-0.378481615,-0.329300056,0.236856501,-0.363250798,0.464201457,0.357650645,0.959091100,0.022502328,0.203071588,0.052473699,-0.771484183,0.749027253,0.336633300,0.000131448,0.000261682,-0.129447463,0.025707522,0.012362824,3
23,0.230000,1,0.008823101044,0,0.266171449,0.259680568,0.896265899,0.001088244,0.001254556,-0.001234409,0.002069288,0.031919423,0.258611270,-0.224905967,0.918871350,0.000641781,0.001138298,0.000296757,0.001340026,0.018200036,-0.048069418,-0.023222791,0.020636308,-0.024173200,0.554789911,0.036385393,0.111141742,0.003618653,0.028890895,0.004183323,-0.090796139,-0.427944017,0.047555388,0.033104801,0.000394113,0.000436228,0.004591179,-0.325629240,-0.310194727,0.203774403,-0.330990331,0.394518609,0.327444147,0.853638187,0.016837718,0.172097582,0.048302948,-0.684845223,0.667476401,0.286238586,-0.026610735,-0.000907037,-0.130209866,0.020681290,0.012466124,3
