step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
10,0.100000,1,0.041501338546,0,0.253200848,0.246599480,0.910811021,0.000553795,0.001018215,-0.000850128,0.001437418,0.008594259,0.253547766,-0.245255738,0.918463426,0.000767116,-0.001098164,0.000549673,0.001447955,0.006927241,-0.004015523,-0.010826847,0.010730759,-0.009176186,0.510342411,0.012234321,0.019158912,0.000465868,0.005807756,0.001560496,-0.020424486,-0.512865813,-0.006511289,0.018440682,-0.001417587,0.006666667,-0.000606840,0.260903350,-1.113493513,0.738740931,-2.772451359,0.112096198,1.263067167,3.883664965,-0.032145141,0.832722550,0.032987800,-3.967721049,-1.324942304,-4.081132817,4.453667884,-0.012491587,1.250502910,-0.302331997,-0.017220432,0
11,0.110000,1,0.040876001399,0,0.253799723,0.247685318,0.909902009,0.000598875,0.001085839,-0.000909012,0.001537531,0.010131789,0.254402723,-0.246495056,0.919096030,0.000854957,-0.001239317,0.000632604,0.001633109,0.008560350,-0.004581048,-0.012823442,0.012759926,-0.010937160,0.512206933,0.014335325,0.022486601,0.000549833,0.006848177,0.001838799,-0.024897532,-0.515625229,-0.008903045,0.022778422,-0.001641542,0.008305949,-0.000809541,0.009876388,-0.970132693,0.740189149,-2.140432029,0.635044166,0.721158869,3.509720636,0.052437777,0.635748457,0.051913247,-3.753624520,-1.364636558,-3.158746848,3.995585015,-0.110734176,0.921455008,-0.247538720,-0.015969880,0
12,0.120000,1,0.040188945139,0,0.254445433,0.248841716,0.908940588,0.000645710,0.001156398,-0.000961421,0.001636621,0.011768410,0.255336676,-0.247861079,0.919811514,0.000933953,-0.001366023,0.000715484,0.001802833,0.010363183,-0.005120482,-0.014931386,0.014862966,-0.012975378,0.514082665,0.016562636,0.026202657,0.000630584,0.007971870,0.002120401,-0.029767350,-0.518517139,-0.011702914,0.027561529,-0.001866746,0.010070282,-0.001042474,0.492572252,-1.107598402,0.929999970,-2.367724315,0.527125015,0.308707977,2.824100237,0.043649581,0.543698683,0.098282777,-3.081662144,-1.089031459,-4.359475221,3.661963489,-0.146753218,0.832731150,-0.389971515,-0.014754582,0
13,0.130000,1,0.039449898052,0,0.255131384,0.250057247,0.907923199,0.000685951,0.001215531,-0.001017390,0.001727173,0.013495583,0.256338634,-0.249336094,0.920604968,0.001001958,-0.001475015,0.000793455,0.001951707,0.012314890,-0.005658928,-0.017136344,0.017040026,-0.015227639,0.516021902,0.018862063,0.030269685,0.000716578,0.009159138,0.002407194,-0.035012530,-0.521545513,-0.014818658,0.032744195,-0.002103024,0.011926760,-0.001300162,-0.033224224,-0.822796651,1.032572804,-1.418107947,0.833698163,0.641657348,2.239479261,0.060714877,0.579319533,0.064783653,-2.332393805,-2.499774032,-0.994272312,2.649890251,-0.213132170,0.819048254,-0.125392103,-0.013502124,0
14,0.140000,1,0.038660544786,0,0.255852296,0.251324592,0.906855489,0.000720912,0.001267344,-0.001067709,0.001807174,0.015302757,0.257406476,-0.250928277,0.921481749,0.001067841,-0.001592184,0.000876781,0.002108098,0.014422988,-0.006148117,-0.019452061,0.019310085,-0.017716673,0.518013851,0.021192360,0.034619123,0.000806937,0.010400776,0.002703815,-0.040565877,-0.524682791,-0.018370349,0.038293057,-0.002353977,0.013866511,-0.001596846,-0.069534186,-0.701746185,0.980881128,-1.278129900,0.811189326,0.568398951,2.133651173,0.061179382,0.542312259,0.058772050,-2.123161630,-2.428441536,-0.796352696,2.313402247,-0.209577366,0.672650138,-0.113925563,-0.012548461,0
15,0.150000,1,0.037855384273,0,0.256602755,0.252640345,0.905737752,0.000750459,0.001315754,-0.001117738,0.001882481,0.017185238,0.258515008,-0.252597109,0.922409885,0.001108533,-0.001668832,0.000928136,0.002208003,0.016630992,-0.006640629,-0.021850059,0.021683402,-0.020347518,0.520089169,0.023586824,0.039192508,0.000903367,0.011700345,0.003006915,-0.046352463,-0.528070045,-0.022021468,0.044106908,-0.002626243,0.015888167,-0.001906070,-0.104115952,-0.596627088,0.916860615,-1.147903700,0.785473642,0.498627082,2.034957077,0.060758034,0.506423911,0.052460380,-1.963422485,-2.317519183,-0.637013248,2.041159802,-0.198442285,0.554743484,-0.105945842,-0.011613808,0
16,0.160000,1,0.037037918679,0,0.257380038,0.254000039,0.904572141,0.000777283,0.001359693,-0.001165611,0.001952328,0.019137566,0.259658381,-0.254335791,0.923389993,0.001143373,-0.001738682,0.000980108,0.002300202,0.018931194,-0.007140094,-0.024318230,0.024154807,-0.023106176,0.522245607,0.026038127,0.043979259,0.001005916,0.013054146,0.003315892,-0.052351365,-0.531700144,-0.025752222,0.050152099,-0.002919467,0.017977088,-0.002226687,-0.075979553,-0.460905473,0.818248396,-1.146945128,0.963947659,-0.052197791,2.167314079,0.049442807,0.470271771,0.057541241,-1.742708680,-2.225552523,-0.550388309,1.779670098,-0.143377769,0.423639513,-0.105651039,-0.010696970,0
17,0.170000,1,0.036211187046,0,0.258181493,0.255399425,0.903360874,0.000801455,0.001399386,-0.001211267,0.002016874,0.021154439,0.260831654,-0.256138014,0.924422903,0.001173273,-0.001802223,0.001032909,0.002385682,0.021316876,-0.007649970,-0.026846065,0.026717898,-0.025979624,0.524480592,0.028539293,0.048969506,0.001114540,0.014458590,0.003630115,-0.058546609,-0.535561994,-0.029546677,0.056401406,-0.003232535,0.020121483,-0.002557898,-0.176095005,-0.393904371,0.748466069,-0.922630912,0.826513942,0.186312316,1.967414915,0.003859731,0.414685716,0.063728327,-1.761204841,-2.006973102,-0.394552490,1.619889681,-0.132003407,0.337726181,-0.100740184,-0.009805210,0
18,0.180000,1,0.035378649345,0,0.259005184,0.256830562,0.902102936,0.000823692,0.001431137,-0.001257937,0.002075820,0.023230259,0.262029966,-0.257998423,0.925508962,0.001198311,-0.001860409,0.001086059,0.002465075,0.023781951,-0.008167445,-0.029419990,0.029362814,-0.028967766,0.526811972,0.031035239,0.054176484,0.001228109,0.015910060,0.003950092,-0.064916124,-0.539646400,-0.033396171,0.062828680,-0.003559941,0.022308243,-0.002899674,-0.221853023,-0.321175714,0.680462234,-0.784967617,0.758105876,0.222650973,1.841105745,0.000981517,0.378327611,0.056558223,-1.690320283,-1.842769950,-0.276684008,1.444880541,-0.117514359,0.259176703,-0.095117553,-0.008919393,0
19,0.190000,1,0.034541525877,0,0.259848193,0.258292127,0.900802336,0.000843009,0.001461565,-0.001300600,0.002130352,0.025360611,0.263250257,-0.259910422,0.926650145,0.001220292,-0.001911999,0.001141183,0.002539124,0.026321075,-0.008702529,-0.032033305,0.032082576,-0.032048172,0.529226003,0.033549817,0.059580203,0.001342063,0.017402999,0.004276441,-0.071461760,-0.543931503,-0.037285120,0.069417943,-0.003900547,0.024528774,-0.003251524,-0.251807128,-0.251598845,0.613743290,-0.673439620,0.704633450,0.213942183,1.734462337,0.004653974,0.346142526,0.047931983,-1.602448395,-1.692426024,-0.174778615,1.278242762,-0.102534328,0.187856596,-0.089238212,-0.008052784,0
