step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
10,0.100000,1,0.002996170094,0,0.252158298,0.245089184,0.909865702,0.000327079,0.000769885,-0.001047395,0.001340425,0.007924897,0.250003946,-0.238587263,0.915315824,0.000046576,0.000360076,-0.000089605,0.000373969,0.002017233,-0.011909677,-0.004865820,0.000978807,0.001068677,0.509072569,0.009314117,0.028088597,0.000796971,0.007245187,0.000999772,-0.015190688,-0.485446337,0.010390311,0.011518213,0.000066306,0.000434872,0.001119815,-1.201839719,-0.683859206,0.093051005,0.430918657,1.115712504,0.742715878,2.714902580,0.137625902,0.752926094,0.113456813,-1.547258085,2.096358788,1.100307723,1.163365082,0.018766197,0.061379487,0.128803312,0.011879600,2
11,0.110000,1,0.003047205727,0,0.252499464,0.245911800,0.908732780,0.000341165,0.000822616,-0.001132922,0.001441042,0.009365939,0.250057561,-0.238189441,0.915221494,0.000053615,0.000397821,-0.000094330,0.000412352,0.002429585,-0.013983609,-0.005727047,0.000986459,0.001443637,0.510460168,0.010967842,0.033288014,0.000923613,0.008619523,0.001168611,-0.017946352,-0.482650641,0.012294405,0.013712725,0.000084339,0.000558003,0.001329912,-1.140740345,-0.657025563,0.115447148,0.376456776,1.041181797,0.702519606,2.521854256,0.129826024,0.691902978,0.110397664,-1.449030374,2.012059607,1.022799283,1.052798937,0.018739311,0.074163129,0.115180484,0.011510524,2
12,0.120000,1,0.003101455991,0,0.252851893,0.246781895,0.907530949,0.000352429,0.000870095,-0.001201831,0.001525015,0.010890954,0.250117257,-0.237754444,0.915122749,0.000059696,0.000434997,-0.000098745,0.000450041,0.002879626,-0.016177726,-0.006656660,0.001003415,0.001861689,0.511959338,0.012695838,0.038758922,0.001064018,0.010069152,0.001348795,-0.020856741,-0.479645309,0.014308530,0.016023574,0.000104250,0.000687273,0.001552890,-1.094408915,-0.616497892,0.134755042,0.339149556,0.951985898,0.663702924,2.338785659,0.121559387,0.634420737,0.106928004,-1.381620458,1.941023039,0.945984065,0.951990979,0.018381255,0.110965087,0.089018032,0.011149714,2
13,0.130000,1,0.003158818613,0,0.253214937,0.247695767,0.906265079,0.000363044,0.000913873,-0.001265870,0.001602932,0.012493886,0.250183294,-0.237283020,0.915020344,0.000066037,0.000471424,-0.000102405,0.000486917,0.003366543,-0.018485917,-0.007651975,0.001031916,0.002317386,0.513562626,0.014494086,0.044482015,0.001217406,0.011587972,0.001540020,-0.023912033,-0.476438770,0.016424935,0.018439703,0.000126034,0.000823960,0.001787385,-1.032032741,-0.590874873,0.140971968,0.280353872,0.884225836,0.623404244,2.167056463,0.113161131,0.580585364,0.102751693,-1.290525015,1.864745678,0.867820897,0.863553530,0.017736891,0.142648483,0.062355721,0.010787520,2
14,0.140000,1,0.003219285129,0,0.253587961,0.248649248,0.904939666,0.000373024,0.000953481,-0.001325413,0.001674811,0.014168697,0.250256164,-0.236776229,0.914915025,0.000072870,0.000506791,-0.000105320,0.000522723,0.003889267,-0.020903548,-0.008708941,0.001073893,0.002806998,0.515261113,0.016358704,0.050438986,0.001382950,0.013170233,0.001741937,-0.027105487,-0.473038130,0.018635939,0.020951031,0.000149657,0.000971742,0.002030783,-0.964293591,-0.569877867,0.144412160,0.215528523,0.826178414,0.583185016,2.003802928,0.104834193,0.529631895,0.098182130,-1.189652750,1.774250692,0.793664489,0.777436478,0.016844057,0.153031637,0.036092827,0.010427106,2
15,0.150000,1,0.003282818316,0,0.253970340,0.249638988,0.903559617,0.000382379,0.000989739,-0.001380049,0.001740785,0.015909482,0.250336132,-0.236235026,0.914807486,0.000079968,0.000541202,-0.000107538,0.000557548,0.004446814,-0.023424383,-0.009824994,0.001129967,0.003324646,0.517048022,0.018285663,0.056612663,0.001559810,0.014810553,0.001954129,-0.030427993,-0.469451015,0.020933725,0.023548714,0.000175053,0.001133790,0.002280416,-0.899994879,-0.545688849,0.151482522,0.157218463,0.768099635,0.542722235,1.848345368,0.096691630,0.481293384,0.093352442,-1.090666252,1.665628223,0.724317474,0.689555943,0.015788636,0.137249843,0.022535607,0.010077599,2
16,0.160000,1,0.003349291258,0,0.254361486,0.250662018,0.902129830,0.000391146,0.001023031,-0.001429786,0.001801076,0.017710559,0.250423344,-0.235660383,0.914698565,0.000087212,0.000574643,-0.000108921,0.000591342,0.005038156,-0.026041648,-0.010998034,0.001200482,0.003863846,0.518917549,0.020270941,0.062986721,0.001747153,0.016503836,0.002176140,-0.033869465,-0.465686475,0.023310877,0.026224141,0.000202134,0.001311140,0.002533658,-0.838866055,-0.520716833,0.159506920,0.103263727,0.711702428,0.502008104,1.700532918,0.088793822,0.435466088,0.088317969,-0.995819289,1.551656852,0.659827239,0.602597106,0.014603391,0.110470105,0.018790508,0.009749807,2
17,0.170000,1,0.003418469357,0,0.254760842,0.251715383,0.900654839,0.000399357,0.001053365,-0.001474992,0.001855981,0.019566539,0.250517893,-0.235053433,0.914589290,0.000094550,0.000606949,-0.000109275,0.000623914,0.005662069,-0.028748911,-0.012225643,0.001286145,0.004418768,0.520863886,0.022310490,0.069545613,0.001944166,0.018245249,0.002407486,-0.037420004,-0.461755372,0.025760461,0.028968524,0.000230794,0.001502216,0.002789154,-0.780694434,-0.497438396,0.166434781,0.051680916,0.658507723,0.461530038,1.559895148,0.081173007,0.391986517,0.083160706,-0.906216375,1.442220664,0.599225949,0.520299670,0.013283435,0.085427547,0.015303491,0.009448576,2
18,0.180000,1,0.003490071206,0,0.255167905,0.252796172,0.899138888,0.000407063,0.001080789,-0.001515951,0.001905758,0.021472297,0.250619854,-0.234415333,0.914480761,0.000101961,0.000638100,-0.000108529,0.000655245,0.006317315,-0.031540062,-0.013505325,0.001387759,0.004984017,0.522881394,0.024400240,0.076274558,0.002150058,0.020030208,0.002647663,-0.041070124,-0.457669104,0.028276027,0.031773166,0.000260914,0.001704339,0.003046529,-0.725569287,-0.475823540,0.172292517,0.002523667,0.608461183,0.421700960,1.425933803,0.073843389,0.350698669,0.077956265,-0.821891637,1.337348743,0.542334550,0.442418337,0.011862723,0.062054610,0.012075117,0.009171886,2
19,0.190000,1,0.003563837940,0,0.255582245,0.253901563,0.897586004,0.000414340,0.001105391,-0.001552883,0.001950644,0.023422941,0.250729287,-0.233747214,0.914374039,0.000109433,0.000668119,-0.000106722,0.000685382,0.007002696,-0.034409282,-0.014834750,0.001506017,0.005554434,0.524964752,0.026536144,0.083159493,0.002364067,0.021854365,0.002896157,-0.044810866,-0.453438613,0.030851516,0.034629838,0.000292362,0.001915004,0.003305434,-0.673464669,-0.455723491,0.177150301,-0.044187035,0.561475795,0.382865137,1.298246102,0.066807714,0.311473282,0.072766541,-0.742819322,1.237104342,0.489014697,0.368774544,0.010373915,0.040274594,0.009104223,0.008918380,2
