step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
10,0.100000,1,0.003407878680,0,0.251568013,0.247545887,0.910314707,0.000153680,0.001204015,-0.001043496,0.001600673,0.009191515,0.247862610,-0.243323516,0.914928489,-0.000413341,-0.000650007,-0.000160423,0.000786826,0.003727470,-0.011043301,-0.003332748,0.002432887,0.003255100,0.510697417,0.017421541,0.028771587,0.000805669,0.008156945,0.001800824,-0.003147122,-0.499804421,0.001518246,0.007987850,-0.000522765,0.000137647,0.000194340,-0.408005610,-0.457068072,0.304538925,1.220869452,3.672182262,-4.110368447,3.985584014,0.547420253,1.146896250,-0.223799599,0.946350754,-0.585456895,-1.291900917,0.195871521,-0.129369800,-0.208611434,-0.108527818,0.003047668,2
11,0.110000,1,0.003545634426,0,0.251703848,0.248830971,0.909183964,0.000135834,0.001285083,-0.001130743,0.001717111,0.010908626,0.247401471,-0.244047473,0.914759844,-0.000461139,-0.000723957,-0.000168645,0.000874759,0.004602229,-0.012867741,-0.003864143,0.002807232,0.004412878,0.513045064,0.019934087,0.034010098,0.001018706,0.009670477,0.002088380,-0.003014487,-0.500771040,0.001530803,0.009281571,-0.000633109,0.000138804,0.000227661,-1.507236974,-0.545981283,-0.007277272,3.313042823,4.718957549,-1.979764787,1.932013110,0.352159597,0.540625794,-0.203024134,0.024801959,-3.053349983,1.667804921,1.080443843,0.046357528,0.432424136,0.414902743,0.002536828,2
12,0.120000,1,0.003689681978,0,0.251812767,0.250142906,0.907910580,0.000108920,0.001311935,-0.001273384,0.001831541,0.012740167,0.246909940,-0.244823900,0.914592203,-0.000491531,-0.000776427,-0.000167641,0.000934101,0.005536331,-0.014732981,-0.004441244,0.003212031,0.005692744,0.515759929,0.022035597,0.039647167,0.001286485,0.011298698,0.002353556,-0.002787218,-0.501796205,0.001414170,0.010594879,-0.000756390,0.000119099,0.000250130,-0.709105824,-0.362326762,0.334395160,0.887246841,2.149568548,-2.178908385,4.457304736,0.242054495,1.222462001,-0.236976494,0.356585352,-0.615509372,-0.754962109,0.233925526,-0.093246559,-0.324885876,-0.062242798,0.002789469,2
13,0.130000,1,0.003836779564,0,0.251878463,0.251508994,0.906536963,0.000065696,0.001366089,-0.001373617,0.001938385,0.014678552,0.246376482,-0.245660450,0.914422633,-0.000533458,-0.000836550,-0.000169571,0.001006552,0.006542883,-0.016748945,-0.005072944,0.003616102,0.007303914,0.518946689,0.023939129,0.045477438,0.001589480,0.012980982,0.002598430,-0.002557468,-0.503126705,0.001464317,0.012016232,-0.000875035,0.000142637,0.000314089,-0.691326719,-0.377476920,0.315025067,0.798381603,2.027703582,-2.477799807,4.460491673,0.202357255,1.232180638,-0.294654379,0.166044968,-0.463716473,-0.668012141,0.228735164,-0.078862482,-0.304555725,-0.051627732,0.003113956,2
14,0.140000,1,0.003988363189,0,0.251925991,0.252915801,0.905030332,0.000047528,0.001406806,-0.001506631,0.002061868,0.016740421,0.245816719,-0.246542034,0.914259666,-0.000559763,-0.000881584,-0.000162967,0.001056922,0.007599805,-0.018835820,-0.005740876,0.004053612,0.009003809,0.522348407,0.025624771,0.051753439,0.001916681,0.014785512,0.002819606,-0.002292060,-0.504518756,0.001438969,0.013460976,-0.001003005,0.000133686,0.000371823,-2.230352815,0.034240351,-0.371323652,2.563975231,1.547231395,1.246776857,2.744420199,0.122138119,0.611141236,0.171273186,-1.703769569,-2.923328696,3.225522011,1.407413419,0.227668482,0.444472633,0.604100940,0.003482690,2
15,0.150000,1,0.004142629909,0,0.251953975,0.254355925,0.903389049,0.000027983,0.001440124,-0.001641283,0.002183701,0.018924122,0.245234548,-0.247462223,0.914106267,-0.000582172,-0.000920188,-0.000153399,0.001099637,0.008699442,-0.020991827,-0.006446556,0.004522626,0.010783541,0.525952895,0.027062633,0.058475490,0.002264117,0.016713260,0.003011316,-0.002010047,-0.505957179,0.001346819,0.014928595,-0.001138861,0.000094280,0.000424395,-1.370486690,-0.275021774,0.011606898,1.714821398,1.906285388,0.092076450,2.206885246,0.129888727,0.586903385,0.047386353,0.038186308,-2.245508213,0.904594929,0.578354552,0.050037746,0.013875325,0.236001660,0.003848589,2
16,0.160000,1,0.004296654259,0,0.251959994,0.255853141,0.901682450,0.000006019,0.001497216,-0.001706599,0.002270280,0.021194402,0.244624107,-0.248420143,0.913960670,-0.000610440,-0.000957920,-0.000145597,0.001145184,0.009844626,-0.023370870,-0.007148811,0.004954506,0.012819672,0.529712106,0.028625173,0.065471982,0.002623767,0.018702122,0.003220154,-0.001898411,-0.507687934,0.001577221,0.016536955,-0.001251950,0.000099321,0.000537376,-1.534421608,-0.274106401,-0.151317068,2.019227683,2.123520555,-0.321764341,2.073143268,0.081380228,0.451180066,-0.088218780,-0.536452313,-2.467427837,1.696017162,0.915736783,0.025602834,-0.036077846,0.341975005,0.004260023,2
17,0.170000,1,0.004456165910,0,0.251943620,0.257400360,0.899915662,-0.000016374,0.001547219,-0.001766788,0.002348552,0.023542954,0.243973414,-0.249433232,0.913822007,-0.000650693,-0.001013090,-0.000138662,0.001212015,0.011056640,-0.025886961,-0.007878569,0.005387548,0.015027284,0.533661945,0.030196920,0.072689163,0.002996406,0.020749675,0.003433731,-0.001782956,-0.509643240,0.001898083,0.018203150,-0.001360036,0.000105750,0.000673958,-2.064355234,-0.052232355,-0.300527599,3.954537375,3.652287834,-1.869347457,1.310933510,0.693183578,0.099174225,0.104971460,-1.464548513,-1.005540322,1.585049386,1.013762907,0.169787602,0.231277473,0.300918918,0.004736930,1
18,0.180000,1,0.004618086861,0,0.251900802,0.258988764,0.898088563,-0.000042818,0.001588403,-0.001827099,0.002421394,0.025964349,0.243288245,-0.250491464,0.913694247,-0.000685169,-0.001058231,-0.000127761,0.001267136,0.012323776,-0.028556495,-0.008635738,0.005805457,0.017436819,0.537824137,0.031736491,0.080113658,0.003377183,0.022842345,0.003638485,-0.001721147,-0.511845290,0.002388546,0.019960919,-0.001465561,0.000108570,0.000844738,-1.185288362,-0.492594485,0.086844210,1.241393137,1.391549274,0.282900679,1.447660465,0.059067444,0.430174778,0.100799204,0.137541175,0.056245234,-0.899225782,0.343923341,0.011931130,-0.100938328,-0.048146198,0.005266913,1
19,0.190000,1,0.004783077610,0,0.251804501,0.260603214,0.896186069,-0.000096302,0.001614450,-0.001902494,0.002497040,0.028461388,0.242573092,-0.251583834,0.913579927,-0.000715152,-0.001092370,-0.000114319,0.001310643,0.013634419,-0.031432463,-0.009398130,0.006193314,0.020241808,0.542351557,0.033089127,0.087669247,0.003827278,0.024944933,0.003853737,-0.001805793,-0.514147893,0.003037514,0.021820064,-0.001554107,0.000134519,0.001045609,-1.423201170,-0.204805995,-0.180885463,2.644034582,3.000347858,-2.474677291,1.201957885,0.147251476,0.382970903,-0.214227957,-0.876613605,-4.055238177,3.410452619,0.383406053,0.260611197,0.616380245,0.536917181,0.005747928,1
